Company Name,Ticker,Quarter,Revenue (in Cr),Net Profit (in Cr),EPS
Reliance Industries,RELIANCE,Q1,150000,12000,18.5
Tata Consultancy Services,TCS,Q1,45000,9000,24.0
HDFC Bank,HDFCBANK,Q1,35000,7000,12.0
Infosys,INFY,Q1,30000,6000,14.5
ICICI Bank,ICICIBANK,Q1,28000,5500,10.5
Hindustan Unilever,HINDUNILVR,Q1,12000,2500,8.0
Kotak Mahindra Bank,KOTAKBANK,Q1,15000,3000,15.0
State Bank of India,SBIN,Q1,50000,10000,11.0
Bajaj Finance,BAJFINANCE,Q1,10000,2000,10.0
Bharti Airtel,BHARTIARTL,Q1,25000,4500,5.5
